1 7351.0820440448215
51 7585.143961858589
53 8140.380348254734
58 8346.375955203872
69 8697.154779713472
119 8812.26946553309
148 9037.32919790772
254 9043.27516291966
291 9046.510470705032
315 9186.510470705032
343 9537.292092947779
461 9604.339092054975
635 9614.511785335262
739 9884.537682595312
918 9897.673508377042
1022 9951.235060880163
1134 10028.577691710705
1315 9988.577691710705
1540 10004.48579187518
1676 10001.634565600167
1911 10001.49170393757
1967 9998.539826863243
2042 9999.972369458852
5000 9999.972369458852
